Soggetto,Predicato,Oggetto
"Giovanni Mauro Bullo","haTipo","Persona"
"Giovanni Mauro Bullo","titolo","Patrizio di Chioggia"
"Caterina Morosini","haTipo","Persona"
"Caterina Morosini","titolo","Patrizia Veneziana"
"Giovanni Mauro Bullo","coniuge","Caterina Morosini"
"Livia Maria Contessa Bullo","haTipo","Persona"
"Livia Maria Contessa Bullo","titolo","Contessa"
"Livia Maria Contessa Bullo","annoDiNascita","1812"
"Livia Maria Contessa Bullo","annoDiMorte","1859"
"Livia Maria Contessa Bullo","padre","Giovanni Mauro Bullo"
"Livia Maria Contessa Bullo","madre","Caterina Morosini"
"Leopold Klette","haTipo","Persona"
"Anna von Ritter","haTipo","Persona"
"Leopold Klette","coniuge","Anna von Ritter"
"Dr. Leopold Franz Vinzenz Klette","haTipo","Persona"
"Dr. Leopold Franz Vinzenz Klette","professione","Consigliere dei Conti Imperiale"
"Dr. Leopold Franz Vinzenz Klette","annoDiNascita","1803"
"Dr. Leopold Franz Vinzenz Klette","annoDiMorte","1881"
"Dr. Leopold Franz Vinzenz Klette","padre","Leopold Klette"
"Dr. Leopold Franz Vinzenz Klette","madre","Anna von Ritter"
"Dr. Leopold Franz Vinzenz Klette","coniuge","Livia Maria Contessa Bullo"
"Franz Leopold Zeno Klette","haTipo","Persona"
"Franz Leopold Zeno Klette","professione","i.r. Amministratore doganale"
"Franz Leopold Zeno Klette","annoDiNascita","1844"
"Franz Leopold Zeno Klette","padre","Dr. Leopold Franz Vinzenz Klette"
"Franz Leopold Zeno Klette","madre","Livia Maria Contessa Bullo"
"Joseph Koschutta","haTipo","Persona"
"Josephine Glergh","haTipo","Persona"
"Joseph Koschutta","coniuge","Josephine Glergh"
"Marianna Koschutta","haTipo","Persona"
"Marianna Koschutta","padre","Joseph Koschutta"
"Marianna Koschutta","madre","Josephine Glergh"
"Dr. Leopold Franz Vinzenz Klette","coniuge","Marianna Koschutta"
"Anna Maria Klette","haTipo","Persona"
"Anna Maria Klette","titolo","Madre Anna Maria - Orsolina"
"Anna Maria Klette","annoDiNascita","1862"
"Anna Maria Klette","annoDiMorte","1909"
"Anna Maria Klette","padre","Dr. Leopold Franz Vinzenz Klette"
"Anna Maria Klette","madre","Marianna Koschutta"
"Carolina Maria Virginia Klette","haTipo","Persona"
"Carolina Maria Virginia Klette","titolo","Suor Maria Antonia - Orsolina"
"Carolina Maria Virginia Klette","annoDiNascita","1863"
"Carolina Maria Virginia Klette","annoDiMorte","1885"
"Carolina Maria Virginia Klette","padre","Dr. Leopold Franz Vinzenz Klette"
"Carolina Maria Virginia Klette","madre","Marianna Koschutta"
"Giuseppe Jellersig (Padre)","haTipo","Persona"
"Maria (Moglie di Giuseppe Padre)","haTipo","Persona"
"Giuseppe Jellersig (Padre)","coniuge","Maria (Moglie di Giuseppe Padre)"
"Giuseppe Jellersig (Ielersig)","haTipo","Persona"
"Giuseppe Jellersig (Ielersig)","professione","Facchino a Trieste"
"Giuseppe Jellersig (Ielersig)","annoDiNascita","1800"
"Giuseppe Jellersig (Ielersig)","luogoDiNascita","Gorizia"
